feature,importance,gene_symbol,gene_name
NP_001073930,0.0004898030892945826,UNCX,homeobox protein unc-4 homolog
NP_001136156,0.0004884682130068541,ZMYM5,zinc finger MYM-type protein 5 isoform 3
NP_005937,0.0004878407926298678,MT1A,metallothionein-1A
NP_065138,0.00048625178169459105,PLXDC1,plexin domain-containing protein 1 precursor
NP_005785,0.00048622197937220335,DHRS2,dehydrogenase/reductase SDR family member 2 isoform 2
NP_937790,0.00048542371951043606,ABHD15,abhydrolase domain-containing protein 15 precursor
NP_689823,0.0004852477868553251,C1ORF65,uncharacterized protein C1orf65
NP_001472,0.00048407563008368015,GAS8,growth arrest-specific protein 8
NP_689585,0.000482697767438367,MYOM3,myomesin-3
NP_001156863,0.0004817982844542712,,zinc finger and SCAN domain-containing protein 12
NP_001265576,0.00048142479499801993,,zinc finger and BTB domain-containing protein 48
NP_001004489,0.00047952710883691907,OR2AG1,olfactory receptor 2AG1
NP_005418,0.0004791520768776536,TP73,tumor protein p73 isoform a
NP_997255,0.00047600347897969186,SH2D4B,SH2 domain-containing protein 4B isoform 1
NP_071417,0.0004728123021777719,GAL3ST2,galactose-3-O-sulfotransferase 2
NP_001731,0.0004724045575130731,CALB2,calretinin isoform 1
NP_001810,0.0004709840868599713,CHGB,secretogranin-1 precursor
NP_001691,0.0004709748027380556,AZU1,azurocidin preproprotein
XP_003118566,0.0004707110347226262,,PREDICTED: rootletin
NP_690865,0.00046555098379030824,PYDC1,pyrin domain-containing protein 1
NP_001838,0.00046431011287495494,COL4A6,collagen alpha-6(IV) chain isoform A precursor
NP_064695,0.00046294889762066305,,aldo-keto reductase family 1 member B10
NP_001862,0.00046217345516197383,CPB1,carboxypeptidase B preproprotein
NP_001201835,0.0004619754618033767,,zinc finger protein 48 isoform 1
NP_115881,0.00045989008503966033,JAGN1,protein jagunal homolog 1
NP_699167,0.0004585515125654638,PSTK,L-seryl-tRNA(Sec) kinase
NP_694941,0.0004584034613799304,KIF19,kinesin-like protein KIF19
NP_149022,0.00045689070248045027,KRT82,"keratin, type II cuticular Hb2"
NP_057419,0.0004565591807477176,,"proline dehydrogenase 1, mitochondrial isoform 1 precursor"
NP_005971,0.0004552114987745881,S100P,protein S100-P
NP_001074919,0.00045403101830743253,LILRB3,leukocyte immunoglobulin-like receptor subfamily B member 3 isoform 1 precursor
NP_478144,0.00045343846431933343,PPP4R4,serine/threonine-protein phosphatase 4 regulatory subunit 4 isoform 1
NP_001073159,0.00045241223415359855,N4BP2L1,NEDD4-binding protein 2-like 1 isoform 2
NP_004107,0.00045171845704317093,FKBP1B,peptidyl-prolyl cis-trans isomerase FKBP1B isoform a
NP_001193884,0.0004495945468079299,,contactin-4 isoform a precursor
NP_001032852,0.0004487283295020461,COL28A1,collagen alpha-1(XXVIII) chain precursor
NP_001014305,0.0004472796281334013,DCUN1D2,DCN1-like protein 2
XP_003960003,0.0004464318335521966,,PREDICTED: LOW QUALITY PROTEIN: zinc finger protein 100
XP_003960579,0.0004429557884577662,,PREDICTED: peptidyl-prolyl cis-trans isomerase A-like
NP_113663,0.0004408380773384124,ESPN,espin
NP_001185624,0.0004407268133945763,,microfibril-associated glycoprotein 4 isoform 1 precursor
XP_003960982,0.00043950608232989907,,PREDICTED: coiled-coil domain-containing protein 146 isoform 1
NP_008959,0.00043756331433542073,TRIM31,E3 ubiquitin-protein ligase TRIM31
NP_064693,0.0004374162235762924,ABCC9,ATP-binding cassette sub-family C member 9 isoform SUR2B
XP_003960233,0.0004351477837190032,,PREDICTED: myomegalin-like isoform 1
NP_003809,0.00043304901919327676,CDS2,phosphatidate cytidylyltransferase 2
NP_000837,0.0004322656604927033,GSTA2,glutathione S-transferase A2
NP_849158,0.00043063852353952825,PLD6,mitochondrial cardiolipin hydrolase
NP_852124,0.00042902881978079677,PAX3,paired box protein Pax-3 isoform PAX3e
NP_002968,0.00042864776332862675,SCN9A,sodium channel protein type 9 subunit alpha
NP_036321,0.0004268414340913296,CABYR,calcium-binding tyrosine phosphorylation-regulated protein isoform a
NP_002334,0.00042594116530381143,LTF,lactotransferrin isoform 1 precursor
NP_997186,0.00042464418220333755,ATRNL1,attractin-like protein 1 isoform 1 precursor
NP_660157,0.0004240619018673897,DNAJB7,dnaJ homolog subfamily B member 7
XP_003960107,0.0004195871006231755,,PREDICTED: neuroblastoma breakpoint family member 20-like isoform 1
NP_001120838,0.00041709066135808825,PAX3,paired box protein Pax-3 isoform PAX3i
NP_005764,0.0004152659384999424,ZNF256,zinc finger protein 256
NP_757385,0.0004141903482377529,SYVN1,E3 ubiquitin-protein ligase synoviolin isoform b precursor
NP_001191008,0.00041300582233816385,,ankyrin repeat and sterile alpha motif domain-containing protein 1B isoform j
NP_001127846,0.00041135158971883357,SPATC1,speriolin isoform 2
NP_612641,0.0004094568139407784,HDGFL1,hepatoma-derived growth factor-like protein 1
NP_061841,0.0004077702760696411,SNTG2,gamma-2-syntrophin
NP_005508,0.000405080703785643,HMGN2,non-histone chromosomal protein HMG-17
