,NP_057427,NP_002408,NP_000415,NP_000413,NP_000517,NP_004439,NP_005219,NP_058519,NP_058518,NP_001116539,NP_061155,NP_001035932,NP_077006,NP_000917,NP_065178,NP_006836,NP_006614,NP_001784,NP_006092,NP_001153651,NP_001159403,NP_000116,NP_004314,NP_060601,NP_005931,NP_003003,NP_113611,NP_002002,NP_004487,NP_008950,NP_114172,NP_001062,NP_001444,NP_057547,NP_054895,NP_001246,NP_055606,NP_036451,NP_000624,NP_569082,NP_001159,NP_001229,NP_002458,PAM50 mRNA
TCGA-A8-A08Z,-0.409160499,-2.61963663,-5.922811658,-4.127919371,-3.855640301,-3.826979346,-5.435575428,3.058815019,3.108971689,3.155545741,-1.294067475,-1.043284122,-1.046866741,2.67547475,0.67637316,-1.451702726,-4.56499893,-3.723083385,-0.043733327,-2.766524023,-3.16061215,-0.491560744,0.862669365,-2.730697829,1.600688949,-2.709202113,0.099571447,0.199884788,1.521871323,-2.702036875,-0.44016912,0.060162634,0.04334317550000001,1.009556758,-1.469615823,-0.6405220415,-0.563213131,-3.991779836,-2.189722309,0.887747701,-0.033554307,1.029442255,-2.035926581,Luminal A
TCGA-AR-A0TV,-0.04073198,0.620402885,-5.539917326,-4.74991719,-4.077576649,-2.057753605,-2.971016174,-3.422044621,-3.21473962,-3.21473962,-0.012717791,-1.197717996,-1.197717996,0.104941804,-0.634632792,0.471927682,-1.329384685,1.006998697,2.242424442,-4.727505839,0.827707886,3.57309843,-0.69346259,0.278629777,-2.119384821,-4.738711514,2.567389037,-1.755200361,0.16657302,0.413097885,-0.671051238,0.575580183,0.04334317550000001,-1.127682523,-0.326476711,-0.6654484,-0.11405044,-0.007114953,-0.079951845,-0.538113013,-0.74388813,1.029442255,-2.035926581,Luminal B
TCGA-AN-A04A,-1.010772607,0.315314521,2.403406937,3.544765509,3.290763746,0.038221688,-1.845349828,1.928390653,1.704077408,1.8393251,-0.6281206,3.597545097,3.597545097,-4.128066973,-0.357625216,-1.129526678,-1.644127652,1.130099397,0.608900974,2.789357668,-0.76996574,-0.647912945,0.021728067,-0.700692532,0.450562213,-1.934415382,-0.29824818,0.974856205,-1.944311554,-2.666732153,-0.09372728,-0.152953219,0.04334317550000001,2.004261309,-1.334047578,-3.765207311,1.03773512,4.267186109,-0.813991208,-0.538113013,-3.455127236,1.029442255,-2.035926581,Luminal A
TCGA-E2-A154,-2.742664249,-3.307172106,-5.903908247,-5.218972047,-4.650700805,-3.894260277,-3.284591791,2.861017076,3.098110376,2.981445419,-2.061491435,-0.710435964,-0.710435964,4.415295376,0.226647078,-2.622235906,-4.184040976,-1.21472965,-2.012567421,6.989451203,-1.579778064,1.735764749,3.327676905,-1.820634749,-0.243776136,-0.879788321,-4.522745691,1.223944292,1.235234449,-1.463113107,-3.860389805,-0.620114707,-6.615188146,-0.202378893,-2.772771334,-6.268956661,1.340609249,1.826086006,-0.813991208,-0.538113013,0.395999435,-3.962001219,-7.804418031,Luminal A
TCGA-BH-A0DG,-0.706863443,0.365853796,-2.224594384,-2.931931952,-2.67429244,-5.887759803,-3.212993237,-7.775554769,-7.709973803,-7.869241865,-1.44230714,1.794581997,1.808635061,-6.112608831,0.468909601,-1.62968133,-3.180202754,-0.992609083,-1.596890847,-2.159013417,-1.564100363,-3.358208235,-0.041685068,-0.397696029,0.8623954,-0.022947649,-1.367357463,0.974856205,-0.069791196,-1.475097623,-1.376726173,-2.360440672,-0.781813119,-0.032316358,1.24651249,0.131636058,-0.11405044,-0.749022636,-0.813991208,-0.538113013,-0.692810379,1.029442255,4.014966151,Luminal A
TCGA-A2-A0EX,-2.506722746,-2.953194175,-0.803377966,-2.315377848,-0.098028145,-1.643794774,-1.212330788,4.186596829,3.976492628,3.942725881,-2.521730189,0.427232359,0.415976777,1.545286862,1.725376178,-1.812628508,-2.47670786,-0.92343751,-1.966454798,-2.037740152,-1.97395852,-2.409174367,0.115827917,-0.882167042,0.419728638,1.03128194,-1.666305938,-0.083020702,-0.281869322,-3.752340515,-3.317124668,-2.769352998,0.04334317550000001,-0.82213727,-2.938186732,-3.395913743,-1.827635951,0.082061171,0.044542563,-2.079010621,-3.046990694,2.554537404,-0.443199334,Luminal A
TCGA-AN-A0AJ,1.480831186,-0.471788378,-4.539342037,-3.936113412,-3.754418043,-3.11242774,-2.790221286,-1.099243052,-1.138004731,-1.055636164,0.443956281,-1.133159521,-1.133159521,1.885406208,-2.468014831,-0.101129826,-0.903012054,-1.736388146,0.216231419,-3.051862617,0.943012894,-0.348235527,-1.026564905,-0.859405165,-0.27555738,-1.339080939,1.136821288,-2.148230982,1.892674023,2.958620187,1.289445398,0.407617207,-1.496550259,-5.130457637,1.647990926,0.402771998,0.749204501,-1.077439608,-0.813991208,-0.538113013,-0.033554307,-4.922113614,-2.035926581,Luminal B
TCGA-AO-A0JL,1.359573052,-1.177327273,-6.194612819,-3.648293309,-2.263673205,-1.770735889,-1.959119577,-2.69067623,-2.618462483,-2.831963996,2.304631218,-2.988950402,-3.422232884,-2.191459458,0.998504318,0.301484674,0.109961258,-0.637294036,2.358006596,-6.587078835,-1.984237402,-4.003082587,-1.058017605,0.452191624,-2.452056893,5.039334416,0.640575312,1.94984194,-4.527417184,1.701803418,0.590339662,1.610751302,2.244976384,-1.868067461,3.585640294,-0.88219283,-0.11405044,1.617030759,-0.618455667,-0.538113013,0.618597215,1.029442255,-2.035926581,Basal-like
TCGA-AO-A12D,0.490373274,-0.625897588,-3.056548818,-3.11369579,-2.629851423,9.668177053,0.402747916,-3.026070432,-2.938445075,-3.094646799,2.631479843,0.421796907,0.417987109,-2.580324047,0.231306999,-0.218249185,-2.03552291,0.35322054,0.078915072,-7.159701441,-0.161102212,-3.395620854,-1.227845699,-0.317303937,1.736177274,-2.641280818,1.233283916,-3.307995497,-0.770669919,-2.229822616,1.031364613,-1.433574799,0.04334317550000001,-0.387665432,-0.1877708,-0.465886066,0.840874705,-1.677401882,-3.544202983,1.347577861,-1.989805332,0.151301237,-2.035926581,HER2-enriched
TCGA-A8-A06N,-0.358817156,0.269542446,-3.695040338,-3.438624536,-3.427353512,-1.209779488,-3.385087171,-2.331246402,-2.243895964,-2.331246402,-2.04665304,2.278602521,2.278602521,-2.782087373,-0.412354522,-1.423928949,-4.233231746,2.174345547,-0.043733327,-1.401386901,-0.93645715,4.23412523,-1.477466314,-0.317303937,-1.632442898,-3.616143168,-0.010265724,-0.040410721,1.78549521,-2.038199771,-1.423928949,-1.10834027,0.04334317550000001,1.870027891,-1.945213821,-0.6405220415,-0.11405044,0.934532878,0.669663808,-0.538113013,-0.232018133,-0.389812473,-2.035926581,Luminal B
TCGA-AR-A0TX,-1.388531694,-2.653305078,-4.445747356,-3.118415289,-2.857300785,1.663244082,-0.0149606,-3.428488764,-3.689603269,-3.733122353,-5.724120453,-1.45381032,-1.432050778,-2.005958701,-0.327754018,-1.067578449,3.529124816,-2.122916239,-3.480167677,-1.233494957,-1.535408603,-3.629764528,-0.047599914,-7.02153315,1.067576618,2.250751718,-4.002396686,0.099276995,-0.888062226,-1.940680074,-0.44016912,-3.852799835,0.04334317550000001,-4.856458713,-2.851860899,-0.6405220415,-2.511868054,-7.440404335,-1.714924825,-4.540945353,-0.033554307,1.029442255,-2.035926581,HER2-enriched
TCGA-AO-A0JM,-0.488477245,2.120019554,-5.818289185,-7.698594873,-5.387528246,4.567835686,-2.249127116,-6.635367475,-6.638786212,-6.741348341,0.253388817,-0.085066207,-0.085066207,-7.537914205,0.20552649,1.405503393,-2.73116912,-1.927765781,0.585006366,0.290994931,0.386719584,-2.772193971,-0.93975061,0.051683298,2.290956435,-1.602985707,0.916623914,1.320034953,0.448256861,1.477296883,1.193541661,1.275591364,0.04334317550000001,-0.283352988,0.561075202,1.996945,-0.11405044,0.17817659,-0.300446676,-2.8747561,0.896111488,1.029442255,-2.035926581,Luminal B
TCGA-BH-A0AV,-0.671765924,0.418014316,1.119792303,1.727100176,1.43694197,-1.532118744,-0.169049962,-4.787963732,-4.922921037,-4.933042835,0.137977907,-3.205589329,-3.205589329,-4.980277892,0.418014316,-0.05096232,1.281741069,0.212204425,-0.644774463,-3.63070484,-2.230522799,-3.701557425,-0.283763671,-0.810097162,2.246685801,6.352761811,1.028696122,0.974856205,-2.756856289,-2.318245047,-0.992289524,-0.152953219,0.04334317550000001,-2.011217178,-0.681887722,-1.663702117,-1.548988408,-2.291253586,-0.813991208,-0.538113013,0.573215216,1.029442255,-2.035926581,Basal-like
TCGA-BH-A0C7,0.944990311,-0.918145159,-1.125656056,-0.24429257,-0.474116467,-2.77904933,-2.540300233,1.812965997,1.812965997,3.227610174,1.768339997,-1.460351051,-1.460351051,-3.265472722,-2.073958541,-0.28222467,-0.188510071,-0.325276349,-0.585681465,1.380093803,1.5942986,0.875820012,0.277831621,0.177423123,1.317617405,-0.012237374,-0.010265724,-2.910696027,1.016391909,0.938296411,-0.44016912,-0.103720673,-0.692783863,-0.387665432,1.065480509,-2.638477432,-0.11405044,-0.210764459,0.478648618,-0.538113013,1.853129396,1.029442255,-2.035926581,Luminal B
TCGA-BH-A0E9,-0.516858156,-2.851793087,4.855834931,5.738268534,5.51961242,-2.258297921,1.025448363,-0.278679174,-0.34115235,-0.278679174,-2.531618063,1.087921538,1.119158126,0.287483978,1.189440448,-0.173255691,-0.551999317,-2.32467567,-1.594520432,2.5209,-2.035737233,0.228915376,-0.212301425,-0.790178298,-1.85222228,7.624177518,-1.453955787,-3.296914462,-0.056118487,-0.587140478,-0.852651474,-1.368055171,0.04334317550000001,-0.872174341,0.7404145,0.045400423,2.333480473,1.490092605,0.998116349,-0.538113013,-2.957216571,1.029442255,-2.035926581,Luminal A
TCGA-AO-A0JJ,-0.619782104,-2.061033499,-3.475219141,-4.530783543,-2.822257828,-1.705795479,-1.678729725,-6.827989405,-6.973467833,-6.834755844,-1.401305748,1.89394979,1.89394979,-0.223945453,0.912816211,-0.511519088,-0.606249227,-3.387255441,-0.910738958,-0.095383122,-2.240344119,1.731555266,0.787637099,-1.65843041,-3.116597902,-0.261160865,0.38165079,1.785686774,1.163174434,-1.939237607,-0.890439643,-0.555500938,0.04334317550000001,0.730122372,-1.117115332,-2.162530076,-0.11405044,0.635392233,-1.553550614,-0.538113013,-1.871573222,1.029442255,-2.035926581,Luminal A
